county,state,fips,mean_hospitalized,median_hospitalized,std_hospitalized,min_hospitalized,max_hospitalized,weeks_of_data,file
Floyd,GA,13115,64.06486486486486,52.4,48.88081236134252,0.0,206.3,74,by_state/GA/floyd_13115.csv
Rabun,GA,13241,0.7621621621621621,0.0,1.9068515758305145,0.0,8.6,74,by_state/GA/rabun_13241.csv
Peach,GA,13225,3.4594594594594597,0.0,5.063999148404972,0.0,17.3,74,by_state/GA/peach_13225.csv
Newton,GA,13217,15.489189189189187,12.7,11.677346850657749,0.0,47.4,74,by_state/GA/newton_13217.csv
Clarke,GA,13059,58.37027027027027,40.05,47.40892560819338,0.0,169.6,74,by_state/GA/clarke_13059.csv
Troup,GA,13285,33.681081081081075,27.05,19.49984668486042,10.3,89.3,74,by_state/GA/troup_13285.csv
Miller,GA,13201,0.8621621621621621,0.0,2.0067490715973695,0.0,6.7,74,by_state/GA/miller_13201.csv
Catoosa,GA,13047,0.11216216216216217,0.0,0.6780214371490161,0.0,4.3,74,by_state/GA/catoosa_13047.csv
Dougherty,GA,13095,47.5027027027027,32.7,36.25484747172542,7.9,161.6,74,by_state/GA/dougherty_13095.csv
Cherokee,GA,13057,35.48918918918919,23.75,29.87918855863762,0.0,107.9,74,by_state/GA/cherokee_13057.csv
Dekalb,GA,13089,104.66756756756756,88.30000000000001,63.453059142567476,23.9,255.7,74,by_state/GA/dekalb_13089.csv
Bulloch,GA,13031,14.909589041095892,10.6,15.670391085522134,0.0,65.3,73,by_state/GA/bulloch_13031.csv
Bibb,GA,13021,67.26351351351353,50.5,60.840675773548135,6.1,214.00000000000003,74,by_state/GA/bibb_13021.csv
Ben Hill,GA,13017,3.6324324324324326,0.0,4.650441372722111,0.0,14.6,74,by_state/GA/ben_hill_13017.csv
Wilkes,GA,13317,1.5756756756756756,0.0,2.903130611155416,0.0,9.6,74,by_state/GA/wilkes_13317.csv
Morgan,GA,13211,1.1635135135135135,0.0,2.5315312559427117,0.0,8.7,74,by_state/GA/morgan_13211.csv
Haralson,GA,13143,1.422972972972973,0.0,2.516387239473599,0.0,8.7,74,by_state/GA/haralson_13143.csv
Macon,GA,13193,0.0,0.0,0.0,0.0,0.0,66,by_state/GA/macon_13193.csv
Paulding,GA,13223,49.5,45.7,18.591292703401816,22.6,104.1,74,by_state/GA/paulding_13223.csv
Jenkins,GA,13165,0.2681818181818182,0.0,1.2643221462548575,0.0,7.3,66,by_state/GA/jenkins_13165.csv
Bleckley,GA,13023,0.8378378378378378,0.0,2.200790810713569,0.0,8.1,74,by_state/GA/bleckley_13023.csv
Colquitt,GA,13071,12.302702702702703,8.6,12.93526530403401,0.0,48.3,74,by_state/GA/colquitt_13071.csv
Muscogee,GA,13215,68.13378378378378,49.349999999999994,47.30668311854719,13.9,180.9,74,by_state/GA/muscogee_13215.csv
Sumter,GA,13261,8.46081081081081,7.05,8.658273698790607,0.0,29.4,74,by_state/GA/sumter_13261.csv
Tift,GA,13277,24.58108108108108,21.05,22.226885334926394,0.0,83.6,74,by_state/GA/tift_13277.csv
Richmond,GA,13245,140.58243243243246,105.45,103.96925172180121,13.7,419.9,74,by_state/GA/richmond_13245.csv
Greene,GA,13133,2.7405405405405405,0.0,4.657264730752006,0.0,19.1,74,by_state/GA/greene_13133.csv
Murray,GA,13213,1.4824324324324323,0.0,3.3287192859136048,0.0,15.4,74,by_state/GA/murray_13213.csv
Irwin,GA,13155,0.2554054054054054,0.0,1.0806063609694518,0.0,5.3,74,by_state/GA/irwin_13155.csv
Monroe,GA,13207,2.0726027397260274,0.0,4.084770504704457,0.0,19.4,73,by_state/GA/monroe_13207.csv
Pulaski,GA,13235,4.066216216216216,2.0,4.9181318712794875,0.0,25.6,74,by_state/GA/pulaski_13235.csv
Clayton,GA,13063,18.872972972972974,16.0,10.905701629269746,0.0,49.9,74,by_state/GA/clayton_13063.csv
Decatur,GA,13087,4.768918918918919,4.05,6.2467948093879375,0.0,26.3,74,by_state/GA/decatur_13087.csv
Washington,GA,13303,0.8797297297297296,0.0,2.053462143617072,0.0,8.0,74,by_state/GA/washington_13303.csv
Putnam,GA,13237,0.5837837837837838,0.0,1.7338710374557713,0.0,7.6,74,by_state/GA/putnam_13237.csv
Dodge,GA,13091,5.4369863013698625,0.0,6.959096901205306,0.0,21.7,73,by_state/GA/dodge_13091.csv
Lanier,GA,13173,0.0,0.0,0.0,0.0,0.0,74,by_state/GA/lanier_13173.csv
