county,state,fips,mean_hospitalized,median_hospitalized,std_hospitalized,min_hospitalized,max_hospitalized,weeks_of_data,file
Grant,SD,46051,0.0,0.0,0.0,0.0,0.0,74,by_state/SD/grant_46051.csv
Day,SD,46037,0.0,0.0,0.0,0.0,0.0,74,by_state/SD/day_46037.csv
Lake,SD,46079,0.06621621621621622,0.0,0.5696134298447145,0.0,4.9,74,by_state/SD/lake_46079.csv
Hutchinson,SD,46067,0.35,0.0,1.322021076241751,0.0,6.4,74,by_state/SD/hutchinson_46067.csv
Brown,SD,46013,7.0594594594594575,4.550000000000001,9.24681239291902,0.0,34.1,74,by_state/SD/brown_46013.csv
Hughes,SD,46065,2.063513513513514,0.0,3.815956919586967,0.0,15.0,74,by_state/SD/hughes_46065.csv
Mcpherson,SD,46089,0.0,0.0,0.0,0.0,0.0,74,by_state/SD/mcpherson_46089.csv
Hand,SD,46059,0.06621621621621622,0.0,0.5696134298447147,0.0,4.9,74,by_state/SD/hand_46059.csv
Union,SD,46127,0.0,0.0,0.0,0.0,0.0,74,by_state/SD/union_46127.csv
Brule,SD,46015,0.0,0.0,0.0,0.0,0.0,74,by_state/SD/brule_46015.csv
Douglas,SD,46043,0.0,0.0,0.0,0.0,0.0,74,by_state/SD/douglas_46043.csv
Dewey,SD,46041,0.8464788732394365,0.0,2.460245689584419,0.0,9.7,71,by_state/SD/dewey_46041.csv
Jerauld,SD,46073,0.0,0.0,0.0,0.0,0.0,74,by_state/SD/jerauld_46073.csv
Lincoln,SD,46083,0.0,0.0,0.0,0.0,0.0,74,by_state/SD/lincoln_46083.csv
Kingsbury,SD,46077,0.0,0.0,0.0,0.0,0.0,74,by_state/SD/kingsbury_46077.csv
Lawrence,SD,46081,0.4243243243243243,0.0,1.3285908500352852,0.0,5.0,74,by_state/SD/lawrence_46081.csv
Pennington,SD,46103,31.30945945945946,27.4,24.29320424123901,0.0,81.0,74,by_state/SD/pennington_46103.csv
Haakon,SD,46055,0.5297297297297296,0.0,1.552878875722662,0.0,6.3,74,by_state/SD/haakon_46055.csv
Yankton,SD,46135,3.454054054054054,0.0,4.33318476282964,0.0,17.1,74,by_state/SD/yankton_46135.csv
Brookings,SD,46011,0.8810810810810811,0.0,2.3733495015166852,0.0,10.6,74,by_state/SD/brookings_46011.csv
Faulk,SD,46049,0.0,0.0,0.0,0.0,0.0,74,by_state/SD/faulk_46049.csv
Edmunds,SD,46045,0.058108108108108104,0.0,0.4998648465984226,0.0,4.3,74,by_state/SD/edmunds_46045.csv
Clay,SD,46027,0.0,0.0,0.0,0.0,0.0,74,by_state/SD/clay_46027.csv
Bon Homme,SD,46009,0.12162162162162163,0.0,0.7354562967692969,0.0,4.7,74,by_state/SD/bon_homme_46009.csv
Marshall,SD,46091,0.0,0.0,0.0,0.0,0.0,74,by_state/SD/marshall_46091.csv
Roberts,SD,46109,0.0,0.0,0.0,0.0,0.0,74,by_state/SD/roberts_46109.csv
Bennett,SD,46007,0.0,0.0,0.0,0.0,0.0,70,by_state/SD/bennett_46007.csv
Davison,SD,46035,2.9378378378378374,0.0,4.568315618450805,0.0,19.0,74,by_state/SD/davison_46035.csv
Tripp,SD,46123,0.2243243243243243,0.0,1.1104498423057811,0.0,6.6,74,by_state/SD/tripp_46123.csv
Moody,SD,46101,0.0,0.0,0.0,0.0,0.0,74,by_state/SD/moody_46101.csv
Beadle,SD,46005,0.8810810810810811,0.0,2.0874494941425703,0.0,8.7,74,by_state/SD/beadle_46005.csv
Fall River,SD,46047,0.06486486486486487,0.0,0.5698912254857044,-0.1,4.9,74,by_state/SD/fall_river_46047.csv
Walworth,SD,46129,0.2230769230769231,0.0,1.0296797485701001,0.0,5.6,65,by_state/SD/walworth_46129.csv
Gregory,SD,46053,0.2864864864864865,0.0,1.2160259014369588,0.0,6.1,74,by_state/SD/gregory_46053.csv
Custer,SD,46033,0.23783783783783785,0.0,1.0066494952166412,0.0,5.0,74,by_state/SD/custer_46033.csv
Aiken,SC,45003,19.05,14.600000000000001,16.00545497763484,0.0,57.0,74,by_state/SC/aiken_45003.csv
Allendale,SC,45005,0.15945945945945947,0.0,0.963856255826352,0.0,6.1,74,by_state/SC/allendale_45005.csv
Florence,SC,45041,76.92162162162163,67.9,55.5573633462915,0.0,213.8,74,by_state/SC/florence_45041.csv
Chester,SC,45023,0.5689189189189189,0.0,1.556772713342264,0.0,5.7,74,by_state/SC/chester_45023.csv
Orangeburg,SC,45075,15.766216216216216,10.350000000000001,14.725639526331598,0.0,51.0,74,by_state/SC/orangeburg_45075.csv
Colleton,SC,45029,9.214864864864865,7.15,9.02977847438999,0.0,33.7,74,by_state/SC/colleton_45029.csv
Berkeley,SC,45015,1.3635135135135137,0.0,3.879223701620228,0.0,18.3,74,by_state/SC/berkeley_45015.csv
Marion,SC,45067,5.720270270270271,5.0,6.977438783733461,0.0,29.3,74,by_state/SC/marion_45067.csv
Charleston,SC,45019,105.23108108108107,73.85,82.33080604168035,13.0,347.3,74,by_state/SC/charleston_45019.csv
Dillon,SC,45033,5.974324324324325,5.800000000000001,5.689718215590723,0.0,17.3,74,by_state/SC/dillon_45033.csv
Laurens,SC,45059,5.940540540540541,2.05,8.135427663341199,0.0,30.7,74,by_state/SC/laurens_45059.csv
Beaufort,SC,45013,21.689189189189193,18.2,20.531116161583363,0.0,71.0,74,by_state/SC/beaufort_45013.csv
Cherokee,SC,45021,3.831081081081081,0.0,5.388240002273741,0.0,19.4,74,by_state/SC/cherokee_45021.csv
Pickens,SC,45077,16.945945945945947,13.6,13.008829342940528,0.0,59.2,74,by_state/SC/pickens_45077.csv
Georgetown,SC,45043,25.113513513513514,20.099999999999998,17.60741067771714,0.0,61.6,74,by_state/SC/georgetown_45043.csv
Jasper,SC,45053,3.1148648648648654,0.0,5.401742043524108,0.0,23.1,74,by_state/SC/jasper_45053.csv
Lancaster,SC,45057,8.775675675675675,8.8,6.23792665789389,0.0,21.9,74,by_state/SC/lancaster_45057.csv
Lexington,SC,45063,56.012162162162156,35.65,53.713896961288,5.0,207.4,74,by_state/SC/lexington_45063.csv
Greenville,SC,45045,99.05405405405405,83.25,75.94824335210795,5.4,333.8,74,by_state/SC/greenville_45045.csv
Edgefield,SC,45037,0.0,0.0,0.0,0.0,0.0,74,by_state/SC/edgefield_45037.csv
Horry,SC,45051,77.72027027027028,58.9,53.009854291261234,6.4,204.2,74,by_state/SC/horry_45051.csv
Darlington,SC,45031,12.04864864864865,10.65,8.512959391474187,0.0,30.3,74,by_state/SC/darlington_45031.csv
Abbeville,SC,45001,1.2067567567567568,0.0,2.4651172458754624,0.0,10.7,74,by_state/SC/abbeville_45001.csv
Hampton,SC,45049,1.258108108108108,0.0,2.2999706226090946,0.0,7.6,74,by_state/SC/hampton_45049.csv
Sumter,SC,45085,17.83243243243243,14.5,13.442695303246298,0.0,51.6,74,by_state/SC/sumter_45085.csv
York,SC,45091,35.50675675675676,29.25,20.656634020655684,7.7,80.9,74,by_state/SC/york_45091.csv
Newberry,SC,45071,2.9459459459459456,0.0,3.28346580963858,0.0,9.6,74,by_state/SC/newberry_45071.csv
Williamsburg,SC,45089,1.2743243243243243,0.0,2.52315636264563,0.0,8.0,74,by_state/SC/williamsburg_45089.csv
Richland,SC,45079,56.52027027027028,49.150000000000006,43.09887955740886,0.0,158.7,74,by_state/SC/richland_45079.csv
Chesterfield,SC,45025,5.363513513513513,5.199999999999999,4.872190425353957,0.0,15.3,74,by_state/SC/chesterfield_45025.csv
Anderson,SC,45007,48.4972972972973,41.2,34.686849479909675,0.0,137.1,74,by_state/SC/anderson_45007.csv
Oconee,SC,45073,19.22432432432432,13.75,16.07106487602913,0.0,67.3,74,by_state/SC/oconee_45073.csv
Kershaw,SC,45055,8.97972972972973,7.6,7.325690948378782,0.0,26.7,74,by_state/SC/kershaw_45055.csv
Greenwood,SC,45047,26.37702702702703,18.15,19.937529472111493,0.0,72.7,74,by_state/SC/greenwood_45047.csv
Union,SC,45087,1.145945945945946,0.0,2.363256934720363,0.0,9.3,74,by_state/SC/union_45087.csv
Clarendon,SC,45027,4.645945945945945,4.4,5.0162254321431,0.0,17.6,74,by_state/SC/clarendon_45027.csv
Spartanburg,SC,45083,86.8945945945946,64.4,69.35371693408452,4.4,272.2,74,by_state/SC/spartanburg_45083.csv
Millard,UT,49027,0.0,0.0,0.0,0.0,0.0,74,by_state/UT/millard_49027.csv
Tooele,UT,49045,0.6837837837837838,0.0,1.658686311927987,0.0,5.7,74,by_state/UT/tooele_49045.csv
Juab,UT,49023,0.2945945945945946,0.0,1.1105831976373903,0.0,5.4,74,by_state/UT/juab_49023.csv
Uintah,UT,49047,1.6756756756756757,0.0,2.877918331150154,0.0,10.0,74,by_state/UT/uintah_49047.csv
San Juan,UT,49037,0.0,0.0,0.0,0.0,0.0,74,by_state/UT/san_juan_49037.csv
Salt Lake,UT,49035,161.49594594594592,155.35000000000002,79.22483601039356,55.4,297.59999999999997,74,by_state/UT/salt_lake_49035.csv
Grand,UT,49019,0.05405405405405406,0.0,0.4649905549752772,0.0,4.0,74,by_state/UT/grand_49019.csv
Wasatch,UT,49051,0.12837837837837837,0.0,0.7776889314158003,0.0,5.1,74,by_state/UT/wasatch_49051.csv
Utah,UT,49049,50.093243243243236,50.650000000000006,28.756380262050346,6.1,107.0,74,by_state/UT/utah_49049.csv
Weber,UT,49057,39.5527027027027,34.650000000000006,19.619791677590445,9.6,77.5,74,by_state/UT/weber_49057.csv
Box Elder,UT,49003,0.06351351351351352,0.0,0.5463639020959506,0.0,4.7,74,by_state/UT/box_elder_49003.csv
Sevier,UT,49041,0.0,0.0,0.0,0.0,0.0,74,by_state/UT/sevier_49041.csv
Sanpete,UT,49039,0.0,0.0,0.0,0.0,0.0,74,by_state/UT/sanpete_49039.csv
Summit,UT,49043,0.6081081081081081,0.0,1.7948752585157524,0.0,7.4,74,by_state/UT/summit_49043.csv
Duchesne,UT,49013,0.672972972972973,0.0,1.986343601537539,0.0,7.7,74,by_state/UT/duchesne_49013.csv
Carbon,UT,49007,0.9851351351351352,0.0,2.2337806537092217,0.0,8.1,74,by_state/UT/carbon_49007.csv
Iron,UT,49021,3.7635135135135127,2.0,4.4280418481992605,0.0,19.0,74,by_state/UT/iron_49021.csv
Garfield,UT,49017,0.05405405405405406,0.0,0.4649905549752772,0.0,4.0,74,by_state/UT/garfield_49017.csv
Washington,UT,49053,34.78243243243244,35.15,19.899276218049273,4.4,65.9,74,by_state/UT/washington_49053.csv
Beaver,UT,49001,0.0,0.0,0.0,0.0,0.0,74,by_state/UT/beaver_49001.csv
Davis,UT,49011,13.695945945945946,14.15,11.079432248808704,0.0,33.6,74,by_state/UT/davis_49011.csv
Cache,UT,49005,8.47972972972973,7.35,7.22478571952668,0.0,26.4,74,by_state/UT/cache_49005.csv
Kane,UT,49025,0.0,0.0,0.0,0.0,0.0,64,by_state/UT/kane_49025.csv
Camden,GA,13039,5.123287671232877,0.0,7.24100055524759,0.0,30.1,73,by_state/GA/camden_13039.csv
Worth,GA,13321,0.23428571428571426,0.0,1.128149146564589,0.0,6.6,70,by_state/GA/worth_13321.csv
Elbert,GA,13105,0.7424242424242424,0.0,1.911669476264186,0.0,6.9,66,by_state/GA/elbert_13105.csv
Liberty,GA,13179,3.0945945945945947,0.0,5.111306079016892,0.0,19.4,74,by_state/GA/liberty_13179.csv
Appling,GA,13001,2.551351351351351,0.0,4.043775641217623,0.0,17.6,74,by_state/GA/appling_13001.csv
Berrien,GA,13019,0.0,0.0,0.0,0.0,0.0,74,by_state/GA/berrien_13019.csv
Habersham,GA,13137,7.924657534246576,6.7,8.326793781087348,0.0,36.0,73,by_state/GA/habersham_13137.csv
Early,GA,13099,0.20985915492957746,0.0,1.0115271240735064,0.0,5.5,71,by_state/GA/early_13099.csv
Brooks,GA,13027,0.0,0.0,0.0,0.0,0.0,74,by_state/GA/brooks_13027.csv
Thomas,GA,13275,14.089189189189188,9.55,13.580047486829308,0.0,44.4,74,by_state/GA/thomas_13275.csv
Wayne,GA,13305,8.147297297297296,4.85,12.106572685296863,0.0,53.3,74,by_state/GA/wayne_13305.csv
Barrow,GA,13013,5.201351351351351,2.15,6.495235202870992,0.0,23.1,74,by_state/GA/barrow_13013.csv
Fannin,GA,13111,1.277027027027027,0.0,2.4742812598175234,0.0,9.3,74,by_state/GA/fannin_13111.csv
Carroll,GA,13045,49.33783783783783,45.65,30.714606327224136,6.7,135.0,74,by_state/GA/carroll_13045.csv
Lumpkin,GA,13187,4.3810810810810805,0.0,6.75706987797237,0.0,21.6,74,by_state/GA/lumpkin_13187.csv
Fulton,GA,13121,352.57297297297293,269.4,201.59309980669104,96.2,902.1,74,by_state/GA/fulton_13121.csv
Jackson,GA,13157,0.0,0.0,0.0,0.0,0.0,14,by_state/GA/jackson_13157.csv
Seminole,GA,13253,1.0608108108108107,0.0,2.7905818889231035,0.0,12.1,74,by_state/GA/seminole_13253.csv
Houston,GA,13153,41.84657534246575,25.0,38.05738752270408,4.6,134.4,73,by_state/GA/houston_13153.csv
Toombs,GA,13279,11.797297297297296,8.5,11.928588578371182,0.0,44.9,74,by_state/GA/toombs_13279.csv
Candler,GA,13043,1.9055555555555554,0.0,4.110785843411359,0.0,16.4,72,by_state/GA/candler_13043.csv
Gordon,GA,13129,15.26081081081081,13.65,12.035550280999072,0.0,54.6,74,by_state/GA/gordon_13129.csv
Effingham,GA,13103,1.8824324324324326,0.0,4.207181013982305,0.0,17.4,74,by_state/GA/effingham_13103.csv
Burke,GA,13033,0.4175675675675676,0.0,1.305033260281353,0.0,5.0,74,by_state/GA/burke_13033.csv
Butts,GA,13035,0.7094594594594594,0.0,2.1197162461252623,0.0,10.1,74,by_state/GA/butts_13035.csv
Douglas,GA,13097,39.6527027027027,37.15,15.398872249873945,16.6,81.1,74,by_state/GA/douglas_13097.csv
Baldwin,GA,13009,10.878378378378379,8.399999999999999,11.441743691596296,0.0,44.0,74,by_state/GA/baldwin_13009.csv
Mcduffie,GA,13189,0.0,0.0,0.0,0.0,0.0,74,by_state/GA/mcduffie_13189.csv
Lowndes,GA,13185,31.328378378378382,22.799999999999997,26.049123879097493,4.6,105.3,74,by_state/GA/lowndes_13185.csv
Clinch,GA,13065,0.32432432432432434,0.0,1.2257299542599442,0.0,6.0,74,by_state/GA/clinch_13065.csv
Jeff Davis,GA,13161,2.464864864864865,0.0,4.024392489928783,0.0,16.6,74,by_state/GA/jeff_davis_13161.csv
Spalding,GA,13255,36.66486486486487,29.65,20.66518104241371,12.1,97.3,74,by_state/GA/spalding_13255.csv
Union,GA,13291,13.656756756756756,11.7,11.70612860306639,0.0,52.6,74,by_state/GA/union_13291.csv
Walton,GA,13297,12.17027027027027,8.05,12.093615769971642,0.0,44.0,74,by_state/GA/walton_13297.csv
Mitchell,GA,13205,0.4162162162162163,0.0,1.4259845939557643,0.0,6.4,74,by_state/GA/mitchell_13205.csv
Chatham,GA,13051,78.35810810810811,57.4,71.39972757470142,4.7,312.40000000000003,74,by_state/GA/chatham_13051.csv
Emanuel,GA,13107,5.025,2.0,6.001472823927309,0.0,21.1,72,by_state/GA/emanuel_13107.csv
Pickens,GA,13227,12.49189189189189,9.85,10.16778092675358,0.0,41.3,74,by_state/GA/pickens_13227.csv
Gwinnett,GA,13135,120.34054054054054,81.75,92.11945924888266,14.3,380.6,74,by_state/GA/gwinnett_13135.csv
Upson,GA,13293,8.77837837837838,6.550000000000001,10.093538829441531,0.0,33.3,74,by_state/GA/upson_13293.csv
Franklin,GA,13119,7.1824324324324325,5.85,7.210501438077852,0.0,25.6,74,by_state/GA/franklin_13119.csv
Towns,GA,13281,2.2364864864864864,0.0,4.2715232381186325,0.0,14.7,74,by_state/GA/towns_13281.csv
Ware,GA,13299,15.844594594594595,10.850000000000001,14.473198110024791,0.0,58.4,74,by_state/GA/ware_13299.csv
Forsyth,GA,13117,39.90405405405406,28.799999999999997,32.30001670634111,0.0,118.1,74,by_state/GA/forsyth_13117.csv
Grady,GA,13131,1.9270270270270269,0.0,3.3291694343405243,0.0,13.9,74,by_state/GA/grady_13131.csv
Chattooga,GA,13055,16.9,13.4,12.014500371554458,0.0,57.3,74,by_state/GA/chattooga_13055.csv
Whitfield,GA,13313,33.64054054054054,29.65,18.187598657032567,9.6,74.0,74,by_state/GA/whitfield_13313.csv
Evans,GA,13109,3.289189189189189,4.300000000000001,3.3508358216187153,0.0,10.9,74,by_state/GA/evans_13109.csv
Jefferson,GA,13163,0.6702702702702702,0.0,1.8493782538878707,0.0,7.6,74,by_state/GA/jefferson_13163.csv
Jasper,GA,13159,0.0,0.0,0.0,0.0,0.0,74,by_state/GA/jasper_13159.csv
Glynn,GA,13127,28.667123287671238,16.4,33.28827811204936,0.0,135.9,73,by_state/GA/glynn_13127.csv
Henry,GA,13151,50.35675675675676,35.2,36.4480154526028,7.7,141.7,74,by_state/GA/henry_13151.csv
Bartow,GA,13015,19.885135135135137,13.3,15.430362192079246,0.0,56.4,74,by_state/GA/bartow_13015.csv
Cobb,GA,13067,215.9081081081081,195.5,85.42713270297187,88.4,396.4,74,by_state/GA/cobb_13067.csv
Screven,GA,13251,0.9148648648648647,0.0,2.6123878979649144,0.0,11.6,74,by_state/GA/screven_13251.csv
Meriwether,GA,13199,0.1465753424657534,0.0,1.252340274998597,0.0,10.7,73,by_state/GA/meriwether_13199.csv
Coffee,GA,13069,18.34594594594595,13.25,17.895566062837098,0.0,68.4,74,by_state/GA/coffee_13069.csv
Coweta,GA,13077,29.554054054054053,19.0,25.793713735540504,0.0,97.3,74,by_state/GA/coweta_13077.csv
