date_T,date_T_minus_20,active_deaths_T,active_cases_T_minus_20,P_ID_estimate
2020-04-01,2020-03-12,0,1.0,0.0
2020-04-02,2020-03-13,0,1.0,0.0
2020-04-03,2020-03-14,0,1.0,0.0
2020-04-04,2020-03-15,0,1.0,0.0
2020-04-05,2020-03-16,0,1.0,0.0
2020-04-06,2020-03-17,0,1.0,0.0
2020-04-07,2020-03-18,0,1.0,0.0
2020-04-08,2020-03-19,0,2.0,0.0
2020-04-09,2020-03-20,0,3.0,0.0
2020-04-10,2020-03-21,0,3.0,0.0
2020-04-11,2020-03-22,0,3.0,0.0
2020-04-12,2020-03-23,0,3.0,0.0
2020-04-13,2020-03-24,0,3.0,0.0
2020-04-14,2020-03-25,0,3.0,0.0
2020-04-15,2020-03-26,0,3.0,0.0
2020-04-16,2020-03-27,0,3.0,0.0
2020-04-17,2020-03-28,0,4.0,0.0
2020-04-18,2020-03-29,0,4.0,0.0
2020-04-19,2020-03-30,0,4.0,0.0
2020-04-20,2020-03-31,0,4.0,0.0
2020-04-21,2020-04-01,0,4.0,0.0
2020-04-22,2020-04-02,1,6.0,0.16666666666666666
2020-04-23,2020-04-03,0,6.0,0.0
2020-04-24,2020-04-04,0,7.0,0.0
2020-04-25,2020-04-05,0,7.0,0.0
2020-04-26,2020-04-06,0,8.0,0.0
2020-04-27,2020-04-07,0,10.0,0.0
2020-04-28,2020-04-08,0,11.0,0.0
2020-04-29,2020-04-09,0,10.0,0.0
2020-04-30,2020-04-10,0,12.0,0.0
2020-05-01,2020-04-11,0,11.0,0.0
2020-05-02,2020-04-12,0,11.0,0.0
2020-05-03,2020-04-13,0,17.0,0.0
2020-05-04,2020-04-14,0,18.0,0.0
2020-05-05,2020-04-15,0,20.0,0.0
2020-05-06,2020-04-16,0,18.0,0.0
2020-05-07,2020-04-17,0,18.0,0.0
2020-05-08,2020-04-18,0,18.0,0.0
2020-05-09,2020-04-19,0,18.0,0.0
2020-05-10,2020-04-20,1,17.0,0.058823529411764705
2020-05-11,2020-04-21,0,15.0,0.0
2020-05-12,2020-04-22,0,14.0,0.0
2020-05-13,2020-04-23,0,19.0,0.0
2020-05-14,2020-04-24,0,17.0,0.0
2020-05-15,2020-04-25,0,18.0,0.0
2020-05-16,2020-04-26,0,21.0,0.0
2020-05-17,2020-04-27,0,17.0,0.0
2020-05-18,2020-04-28,0,21.0,0.0
2020-05-19,2020-04-29,1,19.0,0.05263157894736842
2020-05-20,2020-04-30,0,19.0,0.0
