county,state,fips,total_cases,total_deaths,cfr,cfr_percent,mean_daily_cfr,median_daily_cfr,std_daily_cfr,min_daily_cfr,max_daily_cfr
Jackson,South Dakota,46071,437,19,0.043478260869565216,4.3478260869565215,0.05211427882644493,0.048109965635738834,0.034185497997239175,0.0,0.16666666666666666
Treutlen,Georgia,13283,1278,55,0.04303599374021909,4.303599374021909,0.02983643252557321,0.03228621291448516,0.012438692521993637,0.0,0.058823529411764705
Sierra,New Mexico,35051,1493,64,0.042866711319490956,4.286671131949095,0.041377485371792574,0.0532113423148876,0.025456566289539486,0.0,0.06701030927835051
Pulaski,Georgia,13235,1597,68,0.042579837194740136,4.257983719474014,0.04334110783629971,0.04366749207450751,0.012512405669638193,0.0,0.09090909090909091
Borden,Texas,48033,47,2,0.0425531914893617,4.25531914893617,0.045132905058911404,0.05405405405405406,0.03138009670263908,0.0,0.11764705882352941
San Augustine,Texas,48405,904,38,0.0420353982300885,4.20353982300885,0.056269256722347546,0.054514480408858604,0.021608787984584706,0.0,0.25
Iron,Wisconsin,55051,1051,44,0.04186489058039962,4.186489058039962,0.12265437650130669,0.05698005698005698,0.20084603267198084,0.00510204081632653,1.0
Martinsville city,Virginia,51690,2391,100,0.04182350480970305,4.182350480970305,0.035749254294685374,0.042209250112258644,0.014490940424305567,0.0,0.056511056511056514
Fisher,Texas,48151,457,19,0.04157549234135667,4.157549234135667,0.0687785245908084,0.04240282685512368,0.10942207809340018,0.0,0.5
Randolph,Georgia,13243,1060,44,0.04150943396226415,4.150943396226415,0.06720859138121194,0.05405405405405406,0.028386457999251883,0.0,0.12690355329949238
Mitchell,Texas,48335,1041,43,0.04130643611911623,4.130643611911624,0.029986001811633793,0.04066529671759392,0.019690835335883998,0.0,0.05128205128205128
Goliad,Texas,48175,681,28,0.041116005873715125,4.1116005873715125,0.028278043139335303,0.030100334448160536,0.01436105890374057,0.0,0.052083333333333336
San Patricio,Texas,48409,7323,301,0.04110337293458965,4.110337293458965,0.030483933619719416,0.03406720741599073,0.016159529643846964,0.0,0.05252387448840382
Golden Valley,Montana,30037,122,5,0.040983606557377046,4.098360655737705,0.020021741703357233,0.03278688524590164,0.01848446707259825,0.0,0.04477611940298507
McCulloch,Texas,48307,980,40,0.04081632653061224,4.081632653061225,0.024519680105667248,0.028708160260214062,0.013173931140648376,0.0,0.04136504653567735
