date_T,date_T_minus_14,hospitalized_T,active_cases_T_minus_14,date_difference_days,P_IH_estimate
8/16/20,8/2/20,51.400000000000006,527.0,14,0.09753320683111956
8/23/20,8/9/20,41.8,378.0,14,0.11058201058201057
8/30/20,8/16/20,40.2,337.0,14,0.11928783382789318
9/6/20,8/23/20,36.7,249.0,14,0.14738955823293173
9/13/20,8/30/20,31.4,166.0,14,0.18915662650602408
9/20/20,9/6/20,27.9,165.0,14,0.16909090909090907
9/27/20,9/13/20,28.1,140.0,14,0.20071428571428573
10/4/20,9/20/20,36.6,102.0,14,0.3588235294117647
10/11/20,9/27/20,26.7,136.0,14,0.1963235294117647
10/18/20,10/4/20,31.9,138.0,14,0.23115942028985506
10/25/20,10/11/20,35.5,141.0,14,0.25177304964539005
11/1/20,10/18/20,32.3,189.0,14,0.17089947089947088
11/8/20,10/25/20,33.400000000000006,183.0,14,0.18251366120218582
11/15/20,11/1/20,40.3,183.0,14,0.22021857923497265
11/22/20,11/8/20,36.7,191.0,14,0.19214659685863875
11/29/20,11/15/20,40.8,200.0,14,0.204
12/6/20,11/22/20,31.3,269.0,14,0.11635687732342008
12/13/20,11/29/20,32.7,308.0,14,0.10616883116883118
12/20/20,12/6/20,30.4,410.0,14,0.07414634146341463
12/27/20,12/13/20,30.1,448.0,14,0.0671875
1/3/21,12/20/20,27.700000000000003,386.0,14,0.0717616580310881
1/10/21,12/27/20,26.200000000000003,465.0,14,0.05634408602150538
1/17/21,1/3/21,25.0,620.0,14,0.04032258064516129
1/24/21,1/10/21,26.299999999999997,529.0,14,0.0497164461247637
1/31/21,1/17/21,20.9,318.0,14,0.06572327044025157
2/7/21,1/24/21,20.299999999999997,294.0,14,0.06904761904761904
2/14/21,1/31/21,16.1,252.0,14,0.0638888888888889
2/21/21,2/7/21,13.100000000000001,135.0,14,0.09703703703703705
2/28/21,2/14/21,11.8,84.0,14,0.14047619047619048
3/7/21,2/21/21,13.6,55.0,14,0.24727272727272726
3/14/21,2/28/21,12.9,105.0,14,0.12285714285714286
3/21/21,3/7/21,8.0,112.0,14,0.07142857142857142
3/28/21,3/14/21,10.4,27.0,14,0.3851851851851852
4/4/21,3/21/21,9.0,22.0,14,0.4090909090909091
4/11/21,3/28/21,5.9,18.0,14,0.3277777777777778
5/30/21,5/16/21,4.0,28.0,14,0.14285714285714285
7/18/21,7/4/21,0.0,23.0,14,0.0
7/25/21,7/11/21,9.6,31.0,14,0.3096774193548387
8/1/21,7/18/21,13.7,17.0,14,0.8058823529411764
8/8/21,7/25/21,20.0,54.0,14,0.37037037037037035
8/15/21,8/1/21,30.3,130.0,14,0.23307692307692307
8/22/21,8/8/21,27.1,200.0,14,0.1355
8/29/21,8/15/21,32.9,251.0,14,0.13107569721115536
9/5/21,8/22/21,29.799999999999997,351.0,14,0.0849002849002849
9/12/21,8/29/21,30.4,352.0,14,0.08636363636363636
9/19/21,9/5/21,23.0,375.0,14,0.06133333333333333
9/26/21,9/12/21,21.0,419.0,14,0.050119331742243436
10/3/21,9/19/21,14.4,395.0,14,0.03645569620253165
10/10/21,9/26/21,7.3,485.0,14,0.015051546391752577
10/17/21,10/3/21,7.3,371.0,14,0.01967654986522911
10/24/21,10/10/21,4.4,224.0,14,0.019642857142857146
12/26/21,12/12/21,5.6,21.0,14,0.26666666666666666
