Time,S_prop,I_prop,H_prop,M_prop,D_prop
0,0.9986,0.0014,0,0,0
0.0648297768861738,0.998532426922981,0.00145114684227175,3.18667692751514e-06,8.28834186381732e-06,4.34065869545059e-07
0.129659553772348,0.998462441947289,0.00150415553130661,6.2897206483698e-06,1.69994903164281e-05,9.13995253524184e-07
0.194489330658521,0.998389954661536,0.0015590933333267,9.31860324758014e-06,2.61413219273073e-05,1.43957979490771e-06
0.259319107544695,0.998314871537846,0.00161602996389026,1.22823947329506e-05,3.5722455518041e-05,2.01071624584155e-06
0.315967819050624,0.998247062511059,0.00166747452029434,1.48256857069471e-05,4.44614930771669e-05,2.5470719718495e-06
0.372616530556552,0.998177131251465,0.00172055003577911,1.73313939818591e-05,5.35498329175204e-05,3.11828179737699e-06
0.429265242062481,0.998105009296444,0.00177530777657956,1.98048325704175e-05,6.29946432756378e-05,3.72447475954492e-06
0.485913953568409,0.998030626101259,0.00183180062588944,2.22511392855604e-05,7.28035296692346e-05,4.36583587575327e-06
0.540923851588394,0.997956161869959,0.00188837136699469,2.46054118473764e-05,8.26847047364297e-05,5.02252827192447e-06
0.595933749608378,0.997879428446062,0.00194668105385562,2.69431500729618e-05,9.29245539453045e-05,5.71288472880526e-06
0.650943647628362,0.997800355407083,0.0020067826259679,2.92685998472858e-05,0.000103531246967856,6.43722664581177e-06
0.705953545648346,0.997718870236567,0.00206873063545908,3.15858929013398e-05,0.000114513354727049,7.19592229917259e-06
0.759631565964804,0.99763696137204,0.00213101241109074,3.38430582063865e-05,0.000125600039220607,7.969762072078e-06
0.813309586281262,0.997552613457502,0.00219515945473521,3.609990015903e-05,0.000137061438734261,8.77713826464603e-06
0.86698760659772,0.997465753170871,0.00226122702307583,3.83599555916662e-05,0.000148906644157044,9.61852296499833e-06
0.920665626914178,0.997376305056333,0.00232927200582567,4.06266885841631e-05,0.000161145128671466,1.04944294539161e-05
0.973089931978676,0.997286373928987,0.00239769244141837,4.28501719725395e-05,0.000173486816493068,1.13837310340724e-05
1.02551423704317,0.997193826174194,0.0024681108563707,4.50863447164932e-05,0.0001862225696112,1.23070454601925e-05
1.07793854210767,0.997098585433439,0.00254058488315942,4.73382427819679e-05,0.000199362292307622,1.32649658090581e-05
1.13036284717217,0.997000573177735,0.00261517380733963,4.96088591146506e-05,0.000212916259363859,1.42581224308428e-05
1.18159902138444,0.996902026850166,0.0026901742489966,5.18489299374945e-05,0.000226573520331113,1.5263458195508e-05
1.2328351955967,0.996800678769782,0.00276731144490541,5.41124073786278e-05,0.000240646917415425,1.63037476587691e-05
