date,step_value,smooth_value
2020-12-26,45.3,40.45936801894166
2020-12-27,45.3,38.07405136223575
2020-12-28,32.4,35.87725646037722
2020-12-29,32.4,34.004461787505775
2020-12-30,32.4,32.54483146620028
2020-12-31,32.4,31.541215267478727
2021-01-01,32.4,30.990148610798236
2021-01-02,32.4,30.84185256405508
2021-01-03,32.4,31.00023384358467
2021-01-04,31.0,31.322884814161558
2021-01-05,31.0,31.621083488999403
2021-01-06,31.0,31.750107909527646
2021-01-07,31.0,31.609236145391442
2021-01-08,31.0,31.141746294451647
2021-01-09,31.0,30.334916482784873
2021-01-10,31.0,29.22002486468345
2021-01-11,23.7,27.872349622655403
2021-01-12,23.7,26.411168967424526
2021-01-13,23.7,24.93275762648201
2021-01-14,23.7,23.510386844086494
2021-01-15,23.7,22.19432438126402
2021-01-16,23.7,21.011834515808058
2021-01-17,23.7,19.967178042279507
2021-01-18,16.6,19.041612272006695
2021-01-19,16.6,18.193391033085387
2021-01-20,16.6,17.388200959558123
2021-01-21,16.6,16.599161491414225
2021-01-22,16.6,15.806824874589813
2021-01-23,16.6,14.999176160967814
2021-01-24,16.6,14.17163320837795
2021-01-25,10.9,13.327046680596728
2021-01-26,10.9,12.475700047347436
2021-01-27,10.9,11.631096725534405
2021-01-28,10.9,10.809960079242995
2021-01-29,10.9,10.032233419739578
2021-01-30,10.9,9.321080005471545
2021-01-31,10.9,8.702883042067317
2021-02-01,8.0,8.207245682336337
2021-02-02,8.0,7.866991026269082
2021-02-03,8.0,7.698740716502807
2021-02-04,8.0,7.702914938321552
2021-02-05,8.0,7.863732419656129
2021-02-06,8.0,8.149210431084137
2021-02-07,8.0,8.511164785829957
2021-02-08,9.1,8.885209839764746
2021-02-09,9.1,9.19075849140643
2021-02-10,9.1,9.372029041028298
2021-02-11,9.1,9.398045190658992
2021-02-12,9.1,9.262636044082512
2021-02-13,9.1,8.984436106838215
2021-02-14,9.1,8.606885286220814
2021-02-15,7.9,8.19822889128037
2021-02-16,7.9,7.851517632822326
2021-02-17,7.9,7.632117337964743
2021-02-18,7.9,7.577708950138327
2021-02-19,7.9,7.698288529086427
2021-02-20,7.9,7.976167250865032
2021-02-21,7.9,8.36597140784278
2021-02-22,9.1,8.79464240870095
2021-02-23,9.1,9.161436778433455
2021-02-24,9.1,9.394599508022589
2021-02-25,9.1,9.45136405443901
2021-02-26,9.1,9.31795234064174
2021-02-27,9.1,9.009574755578175
2021-02-28,9.1,8.570430154184072
2021-03-01,7.4,8.073705857383565
2021-03-02,7.4,7.621577652089157
2021-03-03,7.4,7.284995793649137
2021-03-04,7.4,7.103685005847582
2021-03-05,7.4,7.086144480904345
2021-03-06,7.4,7.209647879475062
2021-03-07,7.4,7.420243330651156
2021-03-08,6.9,7.632753431959833
2021-03-09,6.9,7.7307752493640765
2021-03-10,6.9,7.637330953033522
2021-03-11,6.9,7.31486781734446
2021-03-12,6.9,6.7652582208798355
2021-03-13,6.9,6.029799646429263
2021-03-14,6.9,5.189214680989014
2021-03-15,4.0,4.3636510157620165
2021-03-16,4.0,3.7126814461578457
2021-03-17,4.0,3.347020948743886
2021-03-18,4.0,3.3285266812453362
2021-03-19,4.0,3.67019798254521
2021-03-20,4.0,4.336176372684338
2021-03-21,4.0,5.241745552861367
2021-03-22,7.7,6.25333140543276
2021-03-23,7.7,7.188501993912814
2021-03-24,7.7,7.911911632618089
2021-03-25,7.7,8.335300886667419
2021-03-26,7.7,8.417496571981903
2021-03-27,7.7,8.164411755284915
2021-03-28,7.7,7.629045754102102
2021-03-29,5.4,6.911484136761388
2021-03-30,5.4,6.158898722392961
2021-03-31,5.4,5.487887602359272
2021-04-01,5.4,4.9844751402550145
2021-04-02,5.4,4.704111971907126
2021-04-03,5.4,4.671675005374793
2021-04-04,5.4,4.881467420949451
2021-04-05,7.1,5.2972186711547815
2021-04-06,7.1,5.852084480746698
2021-04-07,7.1,6.485390233124299
2021-04-08,7.1,7.142630970329879
2021-04-09,7.1,7.775471393048924
2021-04-10,7.1,8.341745860610109
2021-04-11,7.1,8.80545839098531
2021-04-12,8.9,9.13678266078959
2021-04-13,8.9,9.312062005281204
2021-04-14,8.9,9.321760347480424
2021-04-15,8.9,9.170462198169545
2021-04-16,8.9,8.87687265589288
2021-04-17,8.9,8.473817406956773
2021-04-18,8.9,8.008242725429591
2021-04-19,7.0,7.54121547314172
2021-04-20,7.0,7.147923099685573
2021-04-21,7.0,6.8767815411615585
2021-04-22,7.0,6.749435220178088
2021-04-23,7.0,6.760757045851576
2021-04-24,7.0,6.878848413806426
2021-04-25,7.0,7.045039206175052
2021-04-26,5.9,7.173887791597876
2021-04-27,5.9,7.153181025223301
2021-04-28,5.9,6.907269135256893
2021-04-29,5.9,6.397065722961364
2021-04-30,5.9,5.620047762656576
2021-05-01,5.9,4.6102556017195475
2021-05-02,5.9,3.4382929605844477
2021-05-03,0.0,0.0
2021-05-04,0.0,0.0
2021-05-05,0.0,0.0
2021-05-06,0.0,0.0
2021-05-07,0.0,0.0
2021-05-08,0.0,0.0
2021-05-09,0.0,0.0
2021-05-10,0.0,0.0
2021-05-11,0.0,0.0
2021-05-12,0.0,0.0
2021-05-13,0.0,0.0
2021-05-14,0.0,0.0
2021-05-15,0.0,0.0
2021-05-16,0.0,0.0
2021-05-17,0.0,0.0
2021-05-18,0.0,0.0
2021-05-19,0.0,0.0
2021-05-20,0.0,0.0
2021-05-21,0.0,0.0
2021-05-22,0.0,0.0
2021-05-23,0.0,0.0
2021-05-24,4.1,1.845052494187636
2021-05-25,4.1,2.6859917764214183
2021-05-26,4.1,3.5275837138216746
2021-05-27,4.1,4.3129754481898805
2021-05-28,4.1,4.989691012751266
2021-05-29,4.1,5.5096313321548225
2021-05-30,4.1,5.829074222473299
2021-05-31,4.1,5.908674391203203
2021-06-01,4.1,5.713463437264789
2021-06-02,4.1,5.236289520397817
2021-06-03,4.1,4.497817361161549
2021-06-04,4.1,3.5465282409347543
2021-06-05,4.1,2.4587200019157045
2021-06-06,4.1,1.3385070471221794
2021-06-07,0.0,0.0
2021-06-08,0.0,0.0
2021-06-09,0.0,0.0
2021-06-10,0.0,0.0
2021-06-11,0.0,0.0
2021-06-12,0.0,0.0
2021-06-13,0.0,0.0
2021-06-14,5.1,2.886560870537571
2021-06-15,5.1,4.085008676175241
2021-06-16,5.1,5.070330254037024
2021-06-17,5.1,5.747502503113955
2021-06-18,5.1,6.074449774554965
2021-06-19,5.1,6.062043871666868
2021-06-20,5.1,5.7741040499143725
2021-06-21,5.0,5.327397016920081
2021-06-22,5.0,4.891636932464479
2021-06-23,5.0,4.593649450547416
2021-06-24,5.0,4.517371719388087
2021-06-25,5.0,4.703852381425037
2021-06-26,5.0,5.15125157331617
2021-06-27,5.0,5.814840925938736
2021-06-28,8.1,6.607003564389334
2021-06-29,8.1,7.397234107983918
2021-06-30,8.1,8.079306014146626
2021-07-01,8.1,8.571271578409798
2021-07-02,8.1,8.815461934413968
2021-07-03,8.1,8.77848705390788
2021-07-04,8.1,8.451235746748475
2021-07-05,4.7,7.84887566090089
2021-07-06,4.7,7.010853282438457
2021-07-07,4.7,5.98489499059158
2021-07-08,4.7,4.827007057747741
2021-07-09,4.7,3.601475649451494
2021-07-10,4.7,2.3808668244044684
2021-07-11,4.7,1.246026534465367
2021-07-12,0.0,0.0
2021-07-13,0.0,0.0
2021-07-14,0.0,0.0
2021-07-15,0.0,0.0
2021-07-16,0.0,0.0
2021-07-17,0.0,0.0
2021-07-18,0.0,0.0
2021-07-19,6.4,2.7346753427920154
2021-07-20,6.4,4.073218672766515
2021-07-21,6.4,5.400451025359895
2021-07-22,6.4,6.643518418190861
2021-07-23,6.4,7.753073357576969
2021-07-24,6.4,8.70327483853463
2021-07-25,6.4,9.491788344779117
2021-07-26,11.7,10.13978584872456
2021-07-27,11.7,10.691945811483913
2021-07-28,11.7,11.189398769603375
2021-07-29,11.7,11.669727335062374
2021-07-30,11.7,12.166966195273574
2021-07-31,11.7,12.711602113082858
2021-08-01,11.7,13.330573926769354
2021-08-02,17.3,14.047272550045417
2021-08-03,17.3,14.881540972056635
2021-08-04,17.3,15.851202365214684
2021-08-05,17.3,16.97206008519728
2021-08-06,17.3,18.257897670948207
2021-08-07,17.3,19.720478844677306
2021-08-08,17.3,21.369547511860485
2021-08-09,29.9,23.2128277612397
2021-08-10,29.9,25.256023864822986
2021-08-11,29.9,27.477115757780016
2021-08-12,29.9,29.82635903844214
2021-08-13,29.9,32.226284968302366
2021-08-14,29.9,34.57170047201535
2021-08-15,29.9,36.72968813739743
2021-08-16,39.3,38.5396062154266
2021-08-17,39.3,39.81308862024253
2021-08-18,39.3,40.4454240323624
2021-08-19,39.3,40.4155558986809
2021-08-20,39.3,39.7860824324702
2021-08-21,39.3,38.70325661337997
2021-08-22,39.3,37.39698618743738
2021-08-23,38.1,36.18083366704713
2021-08-24,38.1,35.45201633099126
2021-08-25,38.1,35.47979421536455
2021-08-26,38.1,36.40547011357434
2021-08-27,38.1,38.2423895763406
2021-08-28,38.1,40.87594091169606
2021-08-29,38.1,44.063555184986065
2021-08-30,52.3,47.43470621886851
2021-08-31,52.3,50.490910593314084
2021-09-01,52.3,52.85903200803072
2021-09-02,52.3,54.291281282463835
2021-09-03,52.3,54.66521635579629
2021-09-04,52.3,53.98374228694842
2021-09-05,52.3,52.375111254578044
2021-09-06,43.4,50.09292255708038
2021-09-07,43.4,47.51612261258819
2021-09-08,43.4,44.9526061353476
2021-09-09,43.4,42.639216135718186
2021-09-10,43.4,40.741743920172965
2021-09-11,43.4,39.354929091298374
2021-09-12,43.4,38.5024595477943
2021-09-13,39.0,38.136971484474095
2021-09-14,39.0,38.140049392264466
2021-09-15,39.0,38.40411776361077
2021-09-16,39.0,38.832441092476905
2021-09-17,39.0,39.33912387434531
2021-09-18,39.0,39.84911060621699
2021-09-19,39.0,40.2981857866115
2021-09-20,40.1,40.63297391556695
2021-09-21,40.1,40.81093949463992
2021-09-22,40.1,40.79746908544591
2021-09-23,40.1,40.56587130965937
2021-09-24,40.1,40.097376849013685
2021-09-25,40.1,39.38113844530115
2021-09-26,40.1,38.414230900373
2021-09-27,32.1,37.20165107613941
2021-09-28,32.1,35.75631789456949
2021-09-29,32.1,34.10609061294131
2021-09-30,32.1,32.29376882384184
2021-10-01,32.1,30.377092455166974
2021-10-02,32.1,28.428741770121576
2021-10-03,32.1,26.536337367219407
2021-10-04,22.3,24.802440180283167
2021-10-05,22.3,23.344551478444465
2021-10-06,22.3,22.24218202019208
2021-10-07,22.3,21.536852053371977
2021-10-08,22.3,21.232091315187304
2021-10-09,22.3,21.293439032198368
2021-10-10,22.3,21.64844392032266
2021-10-11,23.3,22.186664184834857
2021-10-12,23.3,22.759667520366825
2021-10-13,23.3,23.258173483058865
2021-10-14,23.3,23.612053490559706
2021-10-15,23.3,23.790330822026487
2021-10-16,23.3,23.801180618124757
2021-10-17,23.3,23.691929881028504
2021-10-18,24.4,23.549057474420135
2021-10-19,24.4,23.498194123490446
2021-10-20,24.4,23.62536944498954
2021-10-21,24.4,23.977011947226828
2021-10-22,24.4,24.559949030071024
2021-10-23,24.4,25.34140698495022
2021-10-24,24.4,26.249010994851794
2021-10-25,28.1,27.170785134322454
2021-10-26,28.1,27.955152369468166
2021-10-27,28.1,28.493808889772996
2021-10-28,28.1,28.72172410809906
2021-10-29,28.1,28.61714066068655
2021-10-30,28.1,28.201574407153753
2021-10-31,28.1,27.53981443049702
2021-11-01,25.3,26.739923037090794
2021-11-02,25.3,25.953235756687604
2021-11-03,25.3,25.29446383801654
2021-11-04,25.3,24.84169424878328
2021-11-05,25.3,24.636389675670085
2021-11-06,25.3,24.683388524335815
2021-11-07,25.3,24.950904919415922
2021-11-08,26.3,25.370528704522442
2021-11-09,26.3,25.83722544224399
2021-11-10,26.3,26.265091844799834
2021-11-11,26.3,26.58735577403988
2021-11-12,26.3,26.756376241444674
