county,state,fips,n_calculations,mean_pid,median_pid,std_pid,min_pid,max_pid,percentile_25,percentile_50,percentile_75,percentile_90,percentile_95
Wayne,Michigan,26163,642,0.17937896292406574,0.0010468911411700569,2.111160306373563,-0.006704980842911878,37.0,0.0,0.0010468911411700569,0.0028006467193873756,0.006129833941045889,0.011544357026587014
Oakland,Michigan,26125,642,0.09398963517344187,0.000582763248694556,1.222886746620134,-0.006042296072507553,25.0,0.0,0.000582763248694556,0.002319452734659208,0.0056107084259278475,0.010749099157299335
Union,New Jersey,34039,632,0.07174941746217564,0.0006700186303337747,0.693226042079036,-0.030303030303030304,11.0,0.0,0.0006700186303337747,0.0020349860654059926,0.005291005291005291,0.009888400534212333
Jefferson,Louisiana,22051,643,0.07082694335121432,0.00023121387283236994,0.9184875531074986,-0.0070921985815602835,20.0,0.0,0.00023121387283236994,0.0018622038506352994,0.0038520824069957025,0.0070837789661318965
Essex,New Jersey,34013,635,0.06183435420874589,0.0009025270758122744,0.912644392132726,-0.01141552511415525,22.0,0.0,0.0009025270758122744,0.0024615393937190604,0.005858771973507297,0.012240289069557356
Hudson,New Jersey,34017,643,0.05736993372537066,0.0007633587786259542,0.6301450791958019,-0.03125,13.0,0.0,0.0007633587786259542,0.002427241663720985,0.005785023487151153,0.01353969272583141
Ocean,New Jersey,34029,639,0.05498111404759507,0.001072961373390558,0.6993798395048441,-0.010548523206751054,15.0,0.0,0.001072961373390558,0.002902763734411864,0.006616830948128224,0.009659667135747927
Hampden,Massachusetts,25013,623,0.05268716710308516,0.0010524469391334855,0.5324241480613828,-0.016363636363636365,8.5,0.0,0.0010524469391334855,0.0029612105098859006,0.0070088180688349985,0.015483893053986491
Suffolk,New York,36103,644,0.04479448331248652,0.0004884902632290497,0.6298405955214399,-0.054502369668246446,15.0,0.0,0.0004884902632290497,0.001038546601788494,0.0017769591501358465,0.0033074666927813633
Orange,New York,36071,640,0.044470822900395196,0.0,0.8827395829319724,-0.26666666666666666,22.0,0.0,0.0,0.001037909804608558,0.002163123707424965,0.0037976880357358358
Passaic,New Jersey,34031,644,0.03848154333437026,0.0007583592525675617,0.34787847007656986,-0.02617801047120419,6.0,0.0,0.0007583592525675617,0.0021505451098852075,0.005132813271452552,0.010373154008438825
Marion,Indiana,18097,646,0.036573157327195016,0.0007665790345482099,0.29682596905437786,-0.002127659574468085,5.0,0.0,0.0007665790345482099,0.001666215248153968,0.003972025953782824,0.007438444030622802
Mitchell,Kansas,20123,514,0.03495166924712406,0.0,0.7931812576382564,-0.047619047619047616,18.0,0.0,0.0,0.0,0.0,0.0
Macomb,Michigan,26099,639,0.032909644468290616,0.0006769171260032879,0.3478840502523622,-0.008583690987124463,7.0,0.0,0.0006769171260032879,0.003085788308501195,0.006101290370701873,0.011980108499095858
Genesee,Michigan,26049,633,0.030027054618925575,0.0,0.4325682925423004,-0.06521739130434782,9.0,0.0,0.0,0.0026899798251513113,0.0067755102040816416,0.012285210380448473
Bergen,New Jersey,34003,648,0.029942766697005657,0.0006822444882850499,0.21780630119129665,-0.013050570962479609,2.6470588235294117,0.0,0.0006822444882850499,0.002009427753881717,0.005517463038354408,0.010705495600905075
Fairfield,Connecticut,09001,644,0.02979188789236649,0.0,0.32113759846643736,-0.00641025641025641,5.666666666666667,0.0,0.0,0.0015613680259193592,0.00424432868644548,0.010232328856177456
Nassau,New York,36059,647,0.029150529557658452,0.00038289725590299936,0.35254544421135686,-0.8421052631578947,8.0,0.0,0.00038289725590299936,0.0008363564432670963,0.0017123589433306113,0.0034808860621266175
Osborne,Kansas,20141,444,0.027795254768938977,0.0,0.568948226609792,0.0,12.0,0.0,0.0,0.0,0.0,0.0
St. John the Baptist,Louisiana,22095,638,0.027509501739011438,0.0,0.33331735419560266,-0.02631578947368421,6.0,0.0,0.0,0.0,0.005968468468468472,0.020471938775510193
Essex,Massachusetts,25009,628,0.026807015311959604,0.0010851900701870083,0.278163227063498,-0.0016286644951140066,6.0,0.0,0.0010851900701870083,0.0023100323886795877,0.0052332857688702685,0.011993055555555554
Carroll,Maryland,24013,638,0.02554987967390483,0.0,0.2757938810753095,-0.2153846153846154,6.0,0.0,0.0,0.0020964635854341736,0.007385864793678673,0.013717294539137916
Cook,Illinois,17031,672,0.0255175123254039,0.0009037749145967245,0.15883034273220878,0.0,1.6,0.000474719067255058,0.0009037749145967245,0.0016770785773636333,0.00376622148240636,0.011609754546008745
Morris,New Jersey,34027,640,0.02523480310662023,0.00025638127877883137,0.2676773607561935,-0.018518518518518517,5.0,0.0,0.00025638127877883137,0.0018202505672485834,0.005802914336178982,0.009920741108859902
Middlesex,New Jersey,34023,638,0.023991972882597506,0.0008605851979345956,0.25093235883254916,-0.01718213058419244,5.25,0.0,0.0008605851979345956,0.002079002079002079,0.004732009022399886,0.009182373917473235
Philadelphia,Pennsylvania,42101,642,0.023968828753336065,0.0010349908495989896,0.30201771721555004,-0.015625,7.0,0.00024755354741441487,0.0010349908495989896,0.001986772470181166,0.0038311731179719644,0.005980360002749995
Hartford,Connecticut,09003,638,0.023717261860618465,0.00031590586793527997,0.23983624169258688,-0.004651162790697674,5.0,0.0,0.00031590586793527997,0.002399178261946494,0.005964685177743983,0.014591872571082652
Lucas,Ohio,39095,637,0.023237726269923847,0.0,0.2591201490448504,-0.04832056570418385,4.0,0.0,0.0,0.0022123893805309734,0.006281645569620252,0.010704414435757677
Rice,Kansas,20159,522,0.02147165322597183,0.0,0.481002545012652,-0.009259259259259259,11.0,0.0,0.0,0.0,0.0,0.0
Maricopa,Arizona,04013,663,0.021354816735371707,0.001190904810701526,0.20395479848082745,-0.0010750376263169211,3.6666666666666665,0.00025772432377835615,0.001190904810701526,0.002331817683557034,0.0046387450571742025,0.00771436772749743
El Paso,Colorado,08041,646,0.02123506668216673,0.00047641777412804083,0.1832367979780781,-0.046610169491525424,3.0,0.0,0.00047641777412804083,0.0017865214318909593,0.0034782713898567556,0.006622516556291391
Franklin,Massachusetts,25011,620,0.021089472487619543,0.0,0.23487377112206645,-0.07692307692307693,4.0,0.0,0.0,0.0,0.011507618283881318,0.029162440226054163
New Haven,Connecticut,09009,638,0.020373123229477336,0.00019796115877836938,0.18805880584144327,-0.0034129692832764505,3.6666666666666665,0.0,0.00019796115877836938,0.0022826831089195975,0.004900378919158272,0.00912388596781613
Mercer,New Jersey,34021,638,0.020115333404951384,0.0006428913288404646,0.32052212670754254,-0.016129032258064516,8.0,0.0,0.0006428913288404646,0.00242962348016884,0.006910919540229888,0.01215488215488215
Cloud,Kansas,20029,571,0.019508181894350364,0.0,0.43923044100720343,-0.023809523809523808,10.5,0.0,0.0,0.0,0.0,0.0
Ellsworth,Kansas,20053,519,0.019445933128444847,0.0,0.4628243821854632,-1.0,10.5,0.0,0.0,0.0,0.0,0.0
Phillips,Kansas,20147,488,0.018873486888616647,0.0,0.22008083849924723,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Caddo,Louisiana,22017,641,0.018426693900779334,0.00045871559633027525,0.1916632375901814,-0.1,3.0,0.0,0.00045871559633027525,0.0030450669914738123,0.006756756756756757,0.010683760683760684
Frederick,Maryland,24021,636,0.018383672064415255,0.0,0.22375124789342393,-0.04,5.0,0.0,0.0,0.001532177511415525,0.004106793496593132,0.006641083915187022
Henrico,Virginia,51087,635,0.01823719497062369,0.0,0.3398984517858743,-0.008695652173913044,8.5,0.0,0.0,0.0019066625952422497,0.005688458434221147,0.008620087336244534
Graham,Kansas,20065,427,0.018106990589426185,0.0,0.2944634813303782,0.0,6.0,0.0,0.0,0.0,0.0,0.0
Palm Beach,Florida,12099,626,0.017759553441821785,0.000572241853160581,0.19144699029123283,-0.002652519893899204,4.0,0.0,0.000572241853160581,0.0019274998163466923,0.006375891760187489,0.010798350748810862
Northampton,Pennsylvania,42095,640,0.017514146999155347,0.00028817471412794773,0.1907311801774853,-0.03526448362720403,4.0,0.0,0.00028817471412794773,0.0018039955405120154,0.00585139318885449,0.010237355811889942
Clark,Nevada,32003,647,0.017265782270398232,0.001357441494271597,0.19000159744463774,-0.00020108586366378444,4.0,0.0002092907855828929,0.001357441494271597,0.0022405732850614016,0.003751597167156937,0.0055390657107630414
Monmouth,New Jersey,34025,643,0.017153017827803225,0.0006086427267194157,0.15242711518534643,-0.008403361344537815,2.5,0.0,0.0006086427267194157,0.0018896450166861513,0.00493243210422263,0.008401599633564117
Bexar,Texas,48029,668,0.01710024734314743,0.000960709350349029,0.20206324819676233,-0.0007342143906020558,4.0,0.0002138566031489479,0.000960709350349029,0.0017810579222406959,0.0029248801609444764,0.004645439163205659
Will,Illinois,17197,636,0.016882265826702013,0.0006084576164010703,0.18925746682686137,-0.0016778523489932886,4.0,0.0,0.0006084576164010703,0.0013705943663780244,0.003410833234451742,0.006039005580170928
Worcester,Massachusetts,25027,630,0.0166300167593144,0.001253918550063102,0.13175763424013887,-0.0034100596760443308,2.0,0.0,0.001253918550063102,0.002824926004396093,0.00835888019171815,0.01512241648585074
Delaware,Pennsylvania,42045,646,0.016468796665389467,0.0,0.1334576617210197,-0.18490566037735848,2.0,0.0,0.0,0.0023664343786295007,0.007352941176470588,0.016714864083285135
St. Louis,Missouri,29189,645,0.01638201952925509,0.0006821282401091405,0.13394974098437137,-0.00767590618336887,2.0,0.0,0.0006821282401091405,0.0021008403361344537,0.006540858172522149,0.01234078793805002
Wichita,Kansas,20203,375,0.016213675213675213,0.0,0.30955432550568923,-0.125,6.0,0.0,0.0,0.0,0.0,0.0
Schuyler,Missouri,29197,519,0.01607213923837404,0.0,0.2889052911688141,0.0,6.5,0.0,0.0,0.0,0.0,0.0
Randolph,Georgia,13243,627,0.015845026365540287,0.0,0.10693034998129304,-0.125,1.3333333333333333,0.0,0.0,0.0,0.0,0.01856419987349755
Bienville,Louisiana,22013,627,0.01578706952289514,0.0,0.17543167376103294,-0.02,4.0,0.0,0.0,0.0,0.006785466327239061,0.025
Bristol,Massachusetts,25005,624,0.0155076617421162,0.001328243534102537,0.11991222580655701,-0.010554089709762533,1.6,0.0,0.001328243534102537,0.0033374720874720875,0.007029886273472627,0.011808545766741533
Monroe,New York,36055,641,0.01503166428045132,0.00041050903119868636,0.1612926066376042,-0.14285714285714285,3.0,0.0,0.00041050903119868636,0.00129366106080207,0.0034542314335060447,0.007434944237918215
Jefferson,Kentucky,21111,644,0.014864837198359087,0.0005552760668731057,0.18154396119794597,-0.01936619718309859,4.0,0.0,0.0005552760668731057,0.0018541701498472904,0.005035353535353538,0.011279497072672916
Shelby,Tennessee,47157,644,0.014835428108199314,0.0008798945829771947,0.13047511675347323,-0.003264417845484222,2.0,0.0,0.0008798945829771947,0.0019926704352273197,0.004097952226484005,0.006566131237183871
Pima,Arizona,04019,643,0.014735187994468109,0.0005054334091483447,0.17090380686362933,-0.006329113924050633,4.0,0.0,0.0005054334091483447,0.0026263267250173482,0.005229141547452237,0.011342356125691412
Graves,Kentucky,21083,621,0.014712554157001656,0.0,0.17641531075625164,0.0,3.0,0.0,0.0,0.0,0.003766478342749529,0.011111111111111112
Rockland,New York,36087,646,0.01445132942082615,0.0,0.16661509225192234,-0.39622641509433965,3.0,0.0,0.0,0.0006927606511950121,0.0016611857195976453,0.003078830979977112
Dade,Missouri,29057,513,0.014438870080526836,0.0,0.31014003081725555,-0.4827586206896552,7.0,0.0,0.0,0.0,0.0,0.0
Decatur,Kansas,20039,441,0.014055444114967924,0.0,0.26265886931006643,0.0,5.5,0.0,0.0,0.0,0.0,0.0
Luzerne,Pennsylvania,42079,637,0.014003688895145706,0.0006150061500615006,0.1706106391657456,-0.009009009009009009,3.0,0.0,0.0006150061500615006,0.0025426807119505995,0.005599146318498525,0.010752688172043012
Monroe,Ohio,39111,590,0.013987418656222935,0.0,0.13933339686810403,-0.16393442622950818,2.0,0.0,0.0,0.0,0.0,0.016424731182795672
Miami-Dade,Florida,12086,627,0.013976463862296631,0.0005677624481916766,0.15389275091539206,-0.0008435970980259828,3.0,0.0,0.0005677624481916766,0.0013757476738263364,0.004285838581137588,0.007800724631538252
Camden,New Jersey,34007,646,0.013812958604435632,0.0009056143993099456,0.13769499957496145,-0.003194888178913738,2.5,0.0,0.0009056143993099456,0.0024984413965087283,0.005427418404618829,0.01049128621832567
Lehigh,Pennsylvania,42077,637,0.013792279561878439,0.0004222972972972973,0.13121588883801494,-0.0045662100456621,2.0,0.0,0.0004222972972972973,0.002344971339239187,0.006370509368796059,0.011494252873563218
Plymouth,Massachusetts,25023,623,0.013693925897000223,0.0012200081333875558,0.11450632400975362,-0.0136986301369863,2.2,0.0,0.0012200081333875558,0.0033879693609727354,0.008088471048555828,0.01698376250615054
King,Washington,53033,653,0.013661726792676463,0.0005834305717619603,0.17453441401873634,-0.006722237160527024,4.0,0.0,0.0005834305717619603,0.001682085786375105,0.003922001381446924,0.006278402262283489
Twin Falls,Idaho,16083,634,0.013276810587578475,0.0,0.15478667605422713,-0.015873015873015872,3.0,0.0,0.0,0.0,0.0038687735764992457,0.00738190065272708
Monroe,Pennsylvania,42089,643,0.013072468697824522,0.0,0.16630971216618023,-0.027777777777777776,4.0,0.0,0.0,0.0016842251571470715,0.0077726371447455625,0.018413391557496335
Lancaster,Pennsylvania,42071,633,0.0130365483197169,0.0009643201542912247,0.1254403313689207,0.0,2.6666666666666665,0.0,0.0009643201542912247,0.002398081534772182,0.0049813200498132005,0.009834290401968804
Putnam,New York,36079,637,0.012956331928702073,0.0,0.1928328692066919,0.0,4.5,0.0,0.0,0.0,0.0008013316018386822,0.003762538206552149
Newton,Texas,48351,582,0.01278087648647912,0.0,0.11257505276984515,0.0,2.0,0.0,0.0,0.0,0.0,0.017811743341404295
Thomas,Georgia,13275,627,0.01270279474011531,0.0,0.17746601342051643,-0.14285714285714285,4.0,0.0,0.0,0.0,0.006606132385840238,0.016584699453551895
Darke,Ohio,39037,635,0.012633275664676754,0.0,0.11276968211061966,-0.06329113924050633,2.0,0.0,0.0,0.0,0.006511831664629365,0.01908541194255471
Hamilton,Tennessee,47065,639,0.012569121990843863,0.0,0.2053891692562229,-0.03225806451612903,5.0,0.0,0.0,0.0012464972611242792,0.002663352356715617,0.00509586057143381
Madison,Indiana,18095,634,0.01253387965613823,0.0,0.13009521391012738,-0.0070921985815602835,2.0,0.0,0.0,0.0019283317304318753,0.006064699868555577,0.011688131837695622
Jefferson,Illinois,17081,610,0.012449210105984886,0.0,0.13811703977594333,-0.013513513513513514,3.0,0.0,0.0,0.0,0.004847826086956526,0.009666728902165791
Barnstable,Massachusetts,25001,624,0.012247636242090312,0.0,0.1359741950562731,-0.043478260869565216,3.0,0.0,0.0,0.003049655792239566,0.01156632136459226,0.02204539995195773
Jefferson,Colorado,08059,647,0.012208846944746483,0.0004351610095735422,0.12032645967326626,-0.003076923076923077,2.0,0.0,0.0004351610095735422,0.0023482055644830956,0.005724123795859807,0.009394034866624646
Tulsa,Oklahoma,40143,646,0.012182239025671655,0.0,0.12256489900969969,-0.0013550135501355014,2.0,0.0,0.0,0.0008718888564013371,0.00475903673774834,0.010357291520036924
Norfolk,Massachusetts,25021,636,0.012169776917612719,0.0010780614708587825,0.08156667124013706,-0.007829977628635347,1.3333333333333333,0.0,0.0010780614708587825,0.0032102977667493797,0.008043415756181713,0.02369920577299628
Tuscola,Michigan,26157,626,0.01211621674687395,0.0,0.10838939770633552,-0.09090909090909091,2.0,0.0,0.0,0.0,0.00816340130614421,0.018434343434343435
Ascension,Louisiana,22005,636,0.012095763611642392,0.0,0.1791139495290008,-0.006024096385542169,4.0,0.0,0.0,0.0,0.00394515687250996,0.007194244604316547
Hamilton,Indiana,18057,637,0.011992164493652148,0.0,0.14617790205583675,-0.006172839506172839,2.5,0.0,0.0,0.0010351966873706005,0.0035762561310006538,0.007907791686897035
Trumbull,Ohio,39155,640,0.01195550692922642,0.0,0.13298778627248856,-0.5,3.0,0.0,0.0,0.0028547198818971676,0.009442946990116803,0.017907681940700762
East Baton Rouge,Louisiana,22033,635,0.011949225390303513,0.0007558578987150416,0.1450186994795829,-0.0020491803278688526,3.0,0.0,0.0007558578987150416,0.0023134829626497606,0.004456712174804139,0.0077918670214064244
Bartholomew,Indiana,18005,636,0.011838247869567463,0.0,0.1487326013053285,-0.0010395010395010396,3.0,0.0,0.0,0.0,0.003696126568466994,0.011142322097378277
Lee,Kentucky,21129,512,0.011823346912731805,0.0,0.09870555924669684,0.0,1.0,0.0,0.0,0.0,0.0,0.014098968246018214
Lea,New Mexico,35025,619,0.011742130017226998,0.0,0.21079969066725912,-0.004739336492890996,5.2,0.0,0.0,0.0008094049514226004,0.003816793893129771,0.006640537009505793
Berks,Pennsylvania,42011,634,0.011532217815820669,0.0006174745880325456,0.13048157389554424,-0.016666666666666666,3.0,0.0,0.0006174745880325456,0.002108594270486342,0.004585828277061566,0.007723139364178618
Anne Arundel,Maryland,24003,639,0.01148408079043815,0.0006426735218508997,0.13129434545013652,-0.047619047619047616,3.0,0.0,0.0006426735218508997,0.0015256673391806303,0.003659430000893416,0.0075461147199411705
