metric,value,percentage
Overall Mean p_ID,0.0032141387575638134,0.3214%
Overall Median p_ID,0.0,0.0000%
Standard Deviation,0.005558560643991811,0.5559%
5th Percentile,0.0002747709761915359,0.0275%
25th Percentile,0.0012842192259733631,0.1284%
50th Percentile,0.0021295403803923627,0.2130%
75th Percentile,0.0035745379705323446,0.3575%
95th Percentile,0.008506058320637973,0.8506%
Minimum,-0.007148258223098697,-0.7148%
Maximum,0.17937896292406574,17.9379%
Total Counties,3218.0,
Total Calculations,1899366.0,
