county,state,fips,n_daily_points,n_ma_points,mean_pih,median_pih,std_pih,min_pih,max_pih,percentile_25,percentile_75,percentile_95,pih_range_lower,pih_range_upper,pih_iqr
Platte,NE,31141,511,505,292109.0814086389,0.029750207715419332,1650293.2320085727,0.0,16095847.84262113,0.0,0.08192056786996853,545407.208748929,0.0,0.08192056786996853,0.08192056786996853
Madison,NE,31119,511,505,219357.26418820777,0.11264219830064783,1130545.2944229404,0.0,10301139.69182674,0.0,0.18072691714181197,551875.0082226496,0.0,0.18072691714181197,0.18072691714181197
Cimarron,OK,40025,462,456,122.24680435423775,0.0,943.0223350351032,0.0,7963.506112218916,0.0,0.0,0.0,0.0,0.0,0.0
Lincoln,NE,31111,511,505,118.58689121621866,0.15105929399398596,614.1804764495245,0.0,5437.276617293562,0.0789599917658131,0.21384818116402202,276.48936871768046,0.0789599917658131,0.21384818116402202,0.1348881893982089
Red Willow,NE,31145,511,505,24.41539643066296,0.0,169.82974808470996,0.0,1761.127927677135,0.0,0.0,0.05695266319014491,0.0,0.0,0.0
Hall,NE,31079,511,505,16.667473579017685,0.09080210821806597,83.56911891407609,0.0,734.3199111830675,0.0440290405231125,0.2013598922910595,44.28174631301477,0.0440290405231125,0.2013598922910595,0.15733085176794698
Box Butte,NE,31013,511,505,14.43032870866726,0.0,75.04000555133477,0.0,666.1581019980746,0.0,0.04624469941281493,16.50534406131954,0.0,0.04624469941281493,0.04624469941281493
Adams,NE,31001,511,505,6.656648301191763,0.04925124194247504,34.96698060504835,0.0,312.85911527866244,0.0,0.14291663617832936,13.321234624124159,0.0,0.14291663617832936,0.14291663617832936
Dodge,NE,31053,511,505,5.7139900812583795,0.02333199398035462,37.67786233914801,0.0,390.654613618685,0.0,0.047425272612324355,1.447947165605343,0.0,0.047425272612324355,0.047425272612324355
Montour,PA,42093,511,505,4.614772380155973,2.707366257452775,5.540184110570852,0.6621396038989539,29.62408371107159,1.5706144307927943,5.18990834445713,19.8443050220734,1.5706144307927943,5.18990834445713,3.619293913664336
Pawnee,KS,20145,511,505,2.576293993202693,0.18147216160522156,6.237036182597394,0.0,34.41755138672524,0.0,0.6322169901329718,15.34730723311155,0.0,0.6322169901329718,0.6322169901329718
Fredericksburg City,VA,51630,511,505,1.16519266508483,1.0628948083686818,0.5788109454240072,0.3670075368260656,3.124243013846602,0.6930037125349381,1.4849250380511034,2.22152710881737,0.6930037125349381,1.4849250380511034,0.7919213255161653
Winchester City,VA,51840,511,505,1.049297795982784,0.8606113672689814,0.6424885315497489,0.2971468240986313,3.873864847309155,0.6093129099953715,1.2220394103938796,2.486291389096217,0.6093129099953715,1.2220394103938796,0.6127265003985082
Moffat,CO,08081,511,505,0.970145415287796,0.0,2.893775221491162,0.0,21.507402089612288,0.0,0.06353868493580368,6.520297809241936,0.0,0.06353868493580368,0.06353868493580368
Arkansas,AR,05001,511,505,0.806841904673311,0.6949769803591771,0.4768046630298838,0.1799123971325984,2.366475274900097,0.469054993986885,1.0642013966246011,1.7953195337909968,0.469054993986885,1.0642013966246011,0.5951464026377161
Baxter,AR,05005,511,505,0.8013767774581683,0.13405667251539174,5.186690813885929,0.0,64.99280708343949,0.08887759104579218,0.17801029513699165,0.5883368516038097,0.08887759104579218,0.17801029513699165,0.08913270409119947
Finney,KS,20055,511,505,0.762023844144389,0.09576904632071408,1.6415018200832736,0.0,10.002962800360034,0.0309912864595665,0.2279386422764506,4.185131881681001,0.0309912864595665,0.2279386422764506,0.1969473558168841
Charlottesville City,VA,51540,511,505,0.7342182600162352,0.5413340051694778,0.6619494531775846,0.11665084043524536,3.337779599163627,0.36207857294341944,0.7772509101656285,2.7109381455385777,0.36207857294341944,0.7772509101656285,0.4151723372222091
Pulaski,GA,13235,511,505,0.514338615477418,0.10010018937655027,2.4809673823447316,0.0,25.421864309428624,0.0,0.28677352942781215,0.7756212844654443,0.0,0.28677352942781215,0.28677352942781215
Chattooga,GA,13055,511,505,0.511897929177116,0.31714634963874294,0.8385245358051107,0.0,6.971350151769092,0.17169791120611055,0.5174481083209321,1.6050746520392134,0.17169791120611055,0.5174481083209321,0.3457501971148216
