metric,value,percentage
Mean p_IH (7-day),0.035471329687259606,3.55%
Median p_IH,0.0,0.00%
Std Dev,0.07899925882628817,7.90%
25th Pctl,0.0020050123150725744,0.20%
75th Pctl,0.049561942184833715,4.96%
95th Pctl,0.12019443029487058,12.02%
Counties,2440.0,
