metric,value,percentage
Overall Mean p_IH,0.03985936582401916,3.9859%
Overall Median p_IH,0.0,0.0000%
Standard Deviation,0.08150661761108915,8.1507%
5th Percentile,0.0,0.0000%
25th Percentile,0.002551759367490042,0.2552%
50th Percentile,0.01809266280963245,1.8093%
75th Percentile,0.05668951882565774,5.6690%
95th Percentile,0.13237067190789728,13.2371%
Minimum,0.0,0.0000%
Maximum,2.33731021074394,233.7310%
Total Counties,2438.0,
Total Calculations,170487.0,
