collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_and_pediatric_covid_patients
8/2/20,MS,28151,54.3,0.0,54.3
8/9/20,MS,28151,58.900000000000006,0.0,58.900000000000006
8/16/20,MS,28151,51.400000000000006,0.0,51.400000000000006
8/23/20,MS,28151,41.8,0.0,41.8
8/30/20,MS,28151,40.2,0.0,40.2
9/6/20,MS,28151,36.7,0.0,36.7
9/13/20,MS,28151,31.4,0.0,31.4
9/20/20,MS,28151,27.9,0.0,27.9
9/27/20,MS,28151,28.1,0.0,28.1
10/4/20,MS,28151,36.6,0.0,36.6
10/11/20,MS,28151,26.7,0.0,26.7
10/18/20,MS,28151,31.9,0.0,31.9
10/25/20,MS,28151,35.5,0.0,35.5
11/1/20,MS,28151,32.3,0.0,32.3
11/8/20,MS,28151,33.400000000000006,0.0,33.400000000000006
11/15/20,MS,28151,40.3,0.0,40.3
11/22/20,MS,28151,36.7,0.0,36.7
11/29/20,MS,28151,40.8,0.0,40.8
12/6/20,MS,28151,31.3,0.0,31.3
12/13/20,MS,28151,32.7,0.0,32.7
12/20/20,MS,28151,30.4,0.0,30.4
12/27/20,MS,28151,30.1,0.0,30.1
1/3/21,MS,28151,27.700000000000003,0.0,27.700000000000003
1/10/21,MS,28151,26.200000000000003,0.0,26.200000000000003
1/17/21,MS,28151,25.0,0.0,25.0
1/24/21,MS,28151,26.299999999999997,0.0,26.299999999999997
1/31/21,MS,28151,20.9,0.0,20.9
2/7/21,MS,28151,20.299999999999997,0.0,20.299999999999997
2/14/21,MS,28151,16.1,0.0,16.1
2/21/21,MS,28151,13.100000000000001,0.0,13.100000000000001
2/28/21,MS,28151,11.8,0.0,11.8
3/7/21,MS,28151,13.6,0.0,13.6
3/14/21,MS,28151,12.9,0.0,12.9
3/21/21,MS,28151,8.0,0.0,8.0
3/28/21,MS,28151,10.4,0.0,10.4
4/4/21,MS,28151,9.0,0.0,9.0
4/11/21,MS,28151,5.9,0.0,5.9
4/25/21,MS,28151,4.1,0.0,4.1
5/2/21,MS,28151,5.0,0.0,5.0
5/16/21,MS,28151,4.6,0.0,4.6
5/23/21,MS,28151,4.0,0.0,4.0
5/30/21,MS,28151,4.0,0.0,4.0
7/4/21,MS,28151,0.0,0.0,0.0
7/11/21,MS,28151,0.0,0.0,0.0
7/18/21,MS,28151,0.0,0.0,0.0
7/25/21,MS,28151,9.6,0.0,9.6
8/1/21,MS,28151,13.7,0.0,13.7
8/8/21,MS,28151,20.0,0.0,20.0
8/15/21,MS,28151,30.3,0.0,30.3
8/22/21,MS,28151,27.1,0.0,27.1
8/29/21,MS,28151,32.9,0.0,32.9
9/5/21,MS,28151,29.799999999999997,0.0,29.799999999999997
9/12/21,MS,28151,30.4,0.0,30.4
9/19/21,MS,28151,23.0,0.0,23.0
9/26/21,MS,28151,21.0,0.0,21.0
10/3/21,MS,28151,14.4,0.0,14.4
10/10/21,MS,28151,7.3,0.0,7.3
10/17/21,MS,28151,7.3,0.0,7.3
10/24/21,MS,28151,4.4,0.0,4.4
12/12/21,MS,28151,4.3,0.0,4.3
12/19/21,MS,28151,5.4,0.0,5.4
12/26/21,MS,28151,5.6,0.0,5.6
