fips,county,state,cases,deaths,cfr,cfr_percent
01001,Autauga,Alabama,2871893,41785,0.014549636772679205,1.4549636772679204
01003,Baldwin,Alabama,9751057,136369,0.013985047979926689,1.3985047979926688
01005,Barbour,Alabama,983791,22337,0.02270502576258575,2.270502576258575
01007,Bibb,Alabama,1144559,25347,0.022145647362870766,2.2145647362870764
01009,Blount,Alabama,2851498,52469,0.01840050387550684,1.840050387550684
01011,Bullock,Alabama,475274,14616,0.030752786813501264,3.0752786813501265
01013,Butler,Alabama,922146,27783,0.030128634728123313,3.0128634728123314
01015,Calhoun,Alabama,6084005,129869,0.021345971937892883,2.1345971937892885
01017,Chambers,Alabama,1550459,44160,0.02848188826663588,2.848188826663588
01019,Cherokee,Alabama,818383,17412,0.02127610177630767,2.1276101776307668
01021,Chilton,Alabama,1842132,44485,0.02414864949960155,2.4148649499601547
01023,Choctaw,Alabama,249429,9206,0.0369082985538971,3.69082985538971
01025,Clarke,Alabama,1417386,23343,0.016469049362700067,1.6469049362700068
01027,Clay,Alabama,663867,21443,0.03230014445664568,3.230014445664568
01029,Cleburne,Alabama,650656,16371,0.025160760832144788,2.516076083214479
01031,Coffee,Alabama,2469979,48937,0.01981271905550614,1.981271905550614
01033,Colbert,Alabama,2606641,54443,0.02088626703869079,2.088626703869079
01035,Conecuh,Alabama,498349,13171,0.02642926944771636,2.6429269447716357
01037,Coosa,Alabama,458558,11124,0.024258654303272432,2.425865430327243
01039,Covington,Alabama,1827503,48861,0.026736481417540765,2.6736481417540765
01041,Crenshaw,Alabama,670463,22185,0.03308907426658891,3.3089074266588905
01043,Cullman,Alabama,4201094,78769,0.018749639974730392,1.8749639974730392
01045,Dale,Alabama,2269751,48275,0.02126885283892374,2.126885283892374
01047,Dallas,Alabama,1467657,58762,0.040037965273902555,4.003796527390255
01049,DeKalb,Alabama,3675024,73113,0.019894563953868058,1.9894563953868059
01051,Elmore,Alabama,4264786,80364,0.018843618413678903,1.8843618413678902
01053,Escambia,Alabama,1786843,33261,0.0186143942137054,1.86143942137054
01055,Etowah,Alabama,5736968,138352,0.024115874447966243,2.4115874447966243
01057,Fayette,Alabama,876518,23285,0.026565341498976634,2.6565341498976633
01059,Franklin,Alabama,1762598,31201,0.017701710770124553,1.7701710770124552
01061,Geneva,Alabama,1164739,32620,0.02800627436704704,2.800627436704704
01063,Greene,Alabama,374637,13279,0.035444977404794506,3.5444977404794504
01065,Hale,Alabama,902532,27631,0.030614980964663856,3.0614980964663854
01067,Henry,Alabama,842951,17265,0.020481617555468824,2.0481617555468823
01069,Houston,Alabama,4683928,111944,0.023899598798273587,2.3899598798273587
01071,Jackson,Alabama,2844462,46111,0.01621079838647871,1.6210798386478709
01073,Jefferson,Alabama,32568354,578366,0.01775852718869366,1.775852718869366
01075,Lamar,Alabama,615842,13996,0.022726608448270822,2.272660844827082
01077,Lauderdale,Alabama,3992566,88540,0.022176214494638285,2.2176214494638287
01079,Lawrence,Alabama,1270211,36268,0.028552736513854784,2.8552736513854784
01081,Lee,Alabama,6743546,68410,0.010144514473542554,1.0144514473542554
01083,Limestone,Alabama,4264342,58938,0.01382112410308554,1.382112410308554
01085,Lowndes,Alabama,543135,19896,0.036631776630119586,3.663177663011959
01087,Macon,Alabama,658953,18998,0.02883058427535803,2.883058427535803
01089,Madison,Alabama,14590548,195208,0.013379072533807504,1.3379072533807503
01091,Marengo,Alabama,1002153,24747,0.02469383417502118,2.469383417502118
01093,Marion,Alabama,1369746,38352,0.02799935170462261,2.799935170462261
